Ferrari,McLaren,Difference,Ferrari points,McLaren points,Scenario
1 & 2,3 & 6,21,44,23,Fastest for Ferrari
1 & 2,4 & 5,22,44,22,Fastest for Ferrari
1 & 3,2 & 9,21,41,20,Fastest for Ferrari
1 & 3,4 & 6,21,41,20,Fastest for Ferrari
1 & 4,3 & 9,21,38,17,Fastest for Ferrari
1 & 4,5 & 7,22,38,16,Fastest for Ferrari
1 & 5,3 & 11,21,36,15,Fastest for Ferrari
1 & 5,4 & 9,22,36,14,Fastest for Ferrari
1 & 5,6 & 7,22,36,14,Fastest for Ferrari
1 & 6,4 & 10,21,34,13,Fastest for Ferrari
1 & 6,5 & 9,22,34,12,Fastest for Ferrari
1 & 6,7 & 8,24,34,10,Fastest for Ferrari
1 & 7,5 & 10,21,32,11,Fastest for Ferrari
1 & 7,6 & 9,22,32,10,Fastest for Ferrari
1 & 8,6 & 10,21,30,9,Fastest for Ferrari
1 & 8,7 & 9,22,30,8,Fastest for Ferrari
1 & 9,7 & 10,21,28,7,Fastest for Ferrari
1 & 10,7 & 11,21,27,6,Fastest for Ferrari
1 & 10,8 & 9,21,27,6,Fastest for Ferrari
1 & 11,8 & 10,21,26,5,Fastest for Ferrari
2 & 3,4 & 11,22,34,12,Fastest for Ferrari
2 & 3,5 & 9,22,34,12,Fastest for Ferrari
2 & 3,6 & 8,22,34,12,Fastest for Ferrari
2 & 4,6 & 10,22,31,9,Fastest for Ferrari
2 & 4,7 & 9,23,31,8,Fastest for Ferrari
2 & 5,7 & 10,22,29,7,Fastest for Ferrari
2 & 5,8 & 9,23,29,6,Fastest for Ferrari
2 & 6,8 & 10,22,27,5,Fastest for Ferrari
2 & 7,9 & 10,22,25,3,Fastest for Ferrari
2 & 8,10 & 11,22,23,1,Fastest for Ferrari
3 & 4,7 & 11,22,28,6,Fastest for Ferrari
3 & 4,8 & 9,22,28,6,Fastest for Ferrari
3 & 5,8 & 11,22,26,4,Fastest for Ferrari
3 & 5,9 & 10,23,26,3,Fastest for Ferrari
3 & 6,9 & 11,22,24,2,Fastest for Ferrari
3 & 7,11 & 12,22,22,0,Fastest for Ferrari
4 & 5,10 & 11,22,23,1,Fastest for Ferrari
1 & 2,3 & 7,22,43,21,Without the fastest
1 & 2,4 & 5,21,43,22,Without the fastest
1 & 3,2 & 10,21,40,19,Without the fastest
1 & 3,4 & 7,22,40,18,Without the fastest
1 & 3,5 & 6,22,40,18,Without the fastest
1 & 4,3 & 10,21,37,16,Without the fastest
1 & 4,5 & 7,21,37,16,Without the fastest
1 & 5,4 & 9,21,35,14,Without the fastest
1 & 5,6 & 7,21,35,14,Without the fastest
1 & 6,4 & 11,21,33,12,Without the fastest
1 & 6,5 & 9,21,33,12,Without the fastest
1 & 6,7 & 8,23,33,10,Without the fastest
1 & 7,5 & 11,21,31,10,Without the fastest
1 & 7,6 & 9,21,31,10,Without the fastest
1 & 8,6 & 11,21,29,8,Without the fastest
1 & 8,7 & 9,21,29,8,Without the fastest
1 & 9,7 & 11,21,27,6,Without the fastest
1 & 9,8 & 10,22,27,5,Without the fastest
1 & 10,8 & 11,22,26,4,Without the fastest
1 & 11,8 & 12,21,25,4,Without the fastest
1 & 11,9 & 10,22,25,3,Without the fastest
2 & 3,5 & 10,22,33,11,Without the fastest
2 & 3,6 & 9,23,33,10,Without the fastest
2 & 3,7 & 8,23,33,10,Without the fastest
2 & 4,6 & 11,22,30,8,Without the fastest
2 & 4,7 & 9,22,30,8,Without the fastest
2 & 5,7 & 11,22,28,6,Without the fastest
2 & 5,8 & 9,22,28,6,Without the fastest
2 & 6,8 & 11,22,26,4,Without the fastest
2 & 6,9 & 10,23,26,3,Without the fastest
2 & 7,9 & 11,22,24,2,Without the fastest
2 & 8,11 & 12,22,22,0,Without the fastest
3 & 4,8 & 10,22,27,5,Without the fastest
3 & 5,9 & 10,22,25,3,Without the fastest
3 & 6,10 & 11,22,23,1,Without the fastest
4 & 5,11 & 12,22,22,0,Without the fastest
1 & 2,3 & 7,21,43,22,Fastest for McLaren
1 & 2,4 & 6,22,43,21,Fastest for McLaren
1 & 3,2 & 11,21,40,19,Fastest for McLaren
1 & 3,4 & 7,21,40,19,Fastest for McLaren
1 & 3,5 & 6,21,40,19,Fastest for McLaren
1 & 4,3 & 11,21,37,16,Fastest for McLaren
1 & 4,5 & 8,22,37,15,Fastest for McLaren
1 & 4,6 & 7,22,37,15,Fastest for McLaren
1 & 5,4 & 10,21,35,14,Fastest for McLaren
1 & 5,6 & 8,22,35,13,Fastest for McLaren
1 & 6,5 & 10,21,33,12,Fastest for McLaren
1 & 6,7 & 8,22,33,11,Fastest for McLaren
1 & 7,6 & 10,21,31,10,Fastest for McLaren
1 & 7,8 & 9,24,31,7,Fastest for McLaren
1 & 8,7 & 10,21,29,8,Fastest for McLaren
1 & 9,8 & 10,21,27,6,Fastest for McLaren
1 & 10,8 & 11,21,26,5,Fastest for McLaren
1 & 11,9 & 10,21,25,4,Fastest for McLaren
2 & 3,5 & 11,22,33,11,Fastest for McLaren
2 & 3,6 & 9,22,33,11,Fastest for McLaren
2 & 3,7 & 8,22,33,11,Fastest for McLaren
2 & 4,7 & 10,22,30,8,Fastest for McLaren
2 & 4,8 & 9,23,30,7,Fastest for McLaren
2 & 5,8 & 10,22,28,6,Fastest for McLaren
2 & 6,9 & 10,22,26,4,Fastest for McLaren
2 & 7,10 & 11,22,24,2,Fastest for McLaren
2 & 8,11 & 12,22,22,0,Fastest for McLaren
3 & 4,8 & 11,22,27,5,Fastest for McLaren
3 & 4,9 & 10,23,27,4,Fastest for McLaren
3 & 5,9 & 11,22,25,3,Fastest for McLaren
3 & 6,11 & 12,23,23,0,Fastest for McLaren
4 & 5,11 & 12,22,22,0,Fastest for McLaren
