Ferrari,McLaren,Difference,Ferrari points,McLaren points
1 & 2,3 & 7,22,43,21
1 & 2,4 & 5,21,43,22
1 & 3,2 & 10,21,40,19
1 & 3,4 & 7,22,40,18
1 & 3,5 & 6,22,40,18
1 & 4,3 & 10,21,37,16
1 & 4,5 & 7,21,37,16
1 & 5,4 & 9,21,35,14
1 & 5,6 & 7,21,35,14
1 & 6,4 & 11,21,33,12
1 & 6,5 & 9,21,33,12
1 & 6,7 & 8,23,33,10
1 & 7,5 & 11,21,31,10
1 & 7,6 & 9,21,31,10
1 & 8,6 & 11,21,29,8
1 & 8,7 & 9,21,29,8
1 & 9,7 & 11,21,27,6
1 & 9,8 & 10,22,27,5
1 & 10,8 & 11,22,26,4
1 & 11,8 & 12,21,25,4
1 & 11,9 & 10,22,25,3
2 & 3,5 & 10,22,33,11
2 & 3,6 & 9,23,33,10
2 & 3,7 & 8,23,33,10
2 & 4,6 & 11,22,30,8
2 & 4,7 & 9,22,30,8
2 & 5,7 & 11,22,28,6
2 & 5,8 & 9,22,28,6
2 & 6,8 & 11,22,26,4
2 & 6,9 & 10,23,26,3
2 & 7,9 & 11,22,24,2
2 & 8,11 & 12,22,22,0
3 & 4,8 & 10,22,27,5
3 & 5,9 & 10,22,25,3
3 & 6,10 & 11,22,23,1
4 & 5,11 & 12,22,22,0
